suffix,reputation,popularity,level,branches,leaves,cnt,cntPos,cntNeg,isPSL,features
qpon,-1,0.022,1,1,1,3,0,1,1,"qpon: qpon"
comsec,0,0.0155,1,0,0,2,0,0,1,"comsec: comsec"
lego,0,0.0159,1,0,0,2,0,0,1,"lego: lego"
virgin,0,0.018,1,0,0,2,0,0,1,"virgin: virgin"
tel,-1,0.0479,1,11,11,13,0,11,1,"tel: tel"
pics,-0.718,0.189,1,68,71,87,12,73,1,"pics: pics"
pics.free-nude,0.833,0.0011,2,4,4,12,11,1,0,"pics.free-nude: pics.free,-,nude|pi,cs.free,-,nude"
xn--55qx5d,0,0.0215,1,0,0,2,0,0,1,"公司: 公司 #IDN"
energy,-0.786,0.08,1,23,23,30,3,25,1,"energy: energy"
gle,0,0.0193,1,0,0,2,0,0,1,"gle: gle"
ferrari,0,0.0166,1,0,0,2,0,0,1,"ferrari: ferrari"
click,0.231,0.3521,1,303,327,348,213,133,1,"click: click"
latino,0,0.0154,1,0,0,2,0,0,1,"latino: latino"
redstone,0,0.0158,1,0,0,2,0,0,1,"redstone: reds,tone"
wine,-1,0.046,1,9,9,13,0,11,1,"wine: wine"
xn--80aqecdr1a,0,0.0139,1,0,0,2,0,0,1,"католик: католик #IDN"
arab,0,0.0169,1,0,0,2,0,0,1,"arab: arab"
weir,-0.2,0.034,1,2,3,7,2,3,1,"weir: weir"
weir.cloud,0.333,0.0015,2,2,2,3,2,1,0,"weir.cloud: weir.cloud|we,ir.cloud"
ceb,0,0.0184,1,0,0,2,0,0,1,"ceb: ceb"
glade,0,0.016,1,0,0,2,0,0,1,"glade: glade"
hosting,-0.294,0.0899,1,23,30,38,12,22,1,"hosting: hosting"
hosting.nitrado,0.778,0.001,2,1,6,9,8,1,0,"hosting.nitrado: hosting.nitra,do|host,ing.nitra,do"
hosting.opencraft,0,0.0187,2,0,0,2,0,0,1,"hosting.opencraft: hosting.open,craft|host,ing.open,craft"
xn--ogbpf8fl,0,0.0139,1,0,0,2,0,0,1,"سورية: سورية #IDN"
gmo,0,0.0166,1,0,0,2,0,0,1,"gmo: gmo"
infiniti,0,0.0146,1,0,0,2,0,0,1,"infiniti: infin,iti"
ceo,-1,0.025,1,3,3,5,0,3,1,"ceo: ceo"
gold,-1,0.0861,1,18,18,20,0,18,1,"gold: gold"
skype,0,0.019,1,0,0,2,0,0,1,"skype: skype"
golf,-0.667,0.046,1,11,11,14,2,10,1,"golf: golf"
gmx,0,0.0177,1,0,0,2,0,0,1,"gmx: gmx"
cfa,0,0.0176,1,0,0,2,0,0,1,"cfa: cfa"
flir,0,0.0173,1,0,0,2,0,0,1,"flir: flir"
cfd,0,0.0164,1,0,0,2,0,0,1,"cfd: cfd"
xn--ngbc5azd,-1,0.0199,1,1,1,3,0,1,1,"شبكة: شبكة #IDN"
xn--c2br7g,0,0.0126,1,0,0,2,0,0,1,"नेट: नेट #IDN"
xn--80ao21a,0,0.0164,1,0,0,2,0,0,1,"қаз: қаз #IDN"
creditunion,0,0.0275,1,0,0,2,0,0,1,"creditunion: credit,union"
gnu,0,0.0163,1,0,0,1,0,0,1,"gnu: gnu"
xn--rvc1e0am3e,0,0,1,0,0,1,0,0,1,"ഭാരതം: ഭാരതം #IDN"
thd,0,0.0157,1,0,0,2,0,0,1,"thd: thd"
sale,-0.417,0.0619,1,20,20,26,7,17,1,"sale: sale"
spreadbetting,0,0.0141,1,0,0,2,0,0,1,"spreadbetting: spread,betting"
blue,-0.971,0.1799,1,69,69,72,1,69,1,"blue: blue"
pfizer,0,0.0158,1,0,0,2,0,0,1,"pfizer: pfizer"
surgery,-1,0.0213,1,1,1,3,0,1,1,"surgery: surgery"
taipei,-1,0.0845,1,24,25,30,0,28,1,"taipei: taipei"
taipei.gov,-1,0.012,2,2,2,3,0,3,0,"taipei.gov: taipei.gov|tai,pei.gov"
broadway,0,0.0175,1,0,0,2,0,0,1,"broadway: broadway"
goo,-1,0.0372,1,1,1,3,0,1,1,"goo: goo"
gop,-0.778,0.0462,1,9,9,11,1,8,1,"gop: gop"
got,0,0.0182,1,0,0,2,0,0,1,"got: got"
rsvp,0,0.0162,1,0,0,2,0,0,1,"rsvp: rsvp"
gov,-0.997,12.9364,1,1906,1906,2806,4,2800,1,"gov: gov"
analytics,0,0.018,1,0,0,2,0,0,1,"analytics: analytic,s"
miami,-0.667,0.0345,1,6,6,8,1,5,1,"miami: miami"
imdb,0,0.0166,1,0,0,2,0,0,1,"imdb: imdb"
xn--1qqw23a,0,0.0151,1,0,0,2,0,0,1,"佛山: 佛山 #IDN"
viajes,-1,0.0239,1,1,1,3,0,1,1,"viajes: viajes"
eurovision,0,0.0148,1,0,0,2,0,0,1,"eurovision: euro,vision"
i2p,0,0.0258,1,0,0,1,0,0,1,"i2p: i,2,p"
pay,0,0.0186,1,0,0,2,0,0,1,"pay: pay"
lasalle,0,0.0154,1,0,0,2,0,0,1,"lasalle: lasal,le"
ventures,-1,0.046,1,13,13,15,0,13,1,"ventures: ventures"
claims,0,0.0261,1,2,2,4,1,1,1,"claims: claims"
alfaromeo,0,0.0156,1,0,0,2,0,0,1,"alfaromeo: alfa,romeo"
tjx,0,0.0157,1,0,0,2,0,0,1,"tjx: tjx"
samsung,0,0.0187,1,0,0,2,0,0,1,"samsung: samsung"
xn--mix891f,0,0,1,0,0,1,0,0,1,"澳門: 澳門 #IDN"
maserati,0,0.0154,1,0,0,2,0,0,1,"maserati: maserati"
liaison,0,0.0168,1,0,0,2,0,0,1,"liaison: liaison"
live,-0.804,1.6166,1,777,780,820,80,738,1,"live: live"
lefrak,0,0.0144,1,0,0,2,0,0,1,"lefrak: lef,rak"
hoteles,0,0.0171,1,0,0,2,0,0,1,"hoteles: hotel,es"
realty,-1,0.0216,1,1,1,3,0,1,1,"realty: realty"
sexy,-0.85,0.2588,1,74,74,82,6,74,1,"sexy: sexy"
schwarz,0,0.0234,1,0,0,2,0,0,1,"schwarz: schwa,rz"
mobile,-1,0.0231,1,1,1,3,0,1,1,"mobile: mobile"
room,0,0.0174,1,0,0,2,0,0,1,"room: room"
goog,-1,0.3434,1,3,3,7,0,3,1,"goog: goog"
goog.cloud,0,0.0202,2,0,0,2,0,0,1,"goog.cloud: goog.cloud|go,og.cloud"
tjmaxx,0,0.0151,1,0,0,2,0,0,1,"tjmaxx: tjmaxx"
coffee,-0.538,0.1053,1,35,35,54,12,40,1,"coffee: coffee"
mobily,0,0.0144,1,0,0,2,0,0,1,"mobily: mobil,y"
lancome,0,0.0168,1,0,0,2,0,0,1,"lancome: lanc,ome"
genting,0,0.0163,1,0,0,2,0,0,1,"genting: gent,ing"
xn--45brj9c,0,0,1,0,0,1,0,0,1,"ভারত: ভারত #IDN"
xerox,0,0.0185,1,0,0,2,0,0,1,"xerox: xerox"
xn--otu796d,0,0.0126,1,0,0,2,0,0,1,"招聘: 招聘 #IDN"
channel,0,0.0167,1,0,0,2,0,0,1,"channel: channel"
pioneer,-1,0.0226,1,1,1,3,0,1,1,"pioneer: pioneer"
schmidt,-1,0.0247,1,2,2,5,0,3,1,"schmidt: schmidt"
airtel,0,0.0178,1,0,0,2,0,0,1,"airtel: airt,el"
pet,-0.615,0.1169,1,42,45,54,10,42,1,"pet: pet"
africa,-1,0.0628,1,20,20,23,0,21,1,"africa: africa"
xn--kput3i,0,0.0175,1,0,0,2,0,0,1,"手机: 手机 #IDN"
intel,0,0.0166,1,0,0,2,0,0,1,"intel: intel"
sydney,0.333,0.0284,1,5,5,8,4,2,1,"sydney: sydney"
mattel,0,0.0154,1,0,0,2,0,0,1,"mattel: mattel"
coach,-1,0.0443,1,10,10,12,0,10,1,"coach: coach"
sarl,0,0.0198,1,0,0,2,0,0,1,"sarl: sarl"
pink,-0.929,0.1955,1,54,54,58,2,54,1,"pink: pink"
ping,0,0.017,1,0,0,2,0,0,1,"ping: ping"
save,0,0.0152,1,0,0,2,0,0,1,"save: save"
protection,0,0.0184,1,0,0,2,0,0,1,"protection: protection"
aero,-0.965,1.7607,1,310,310,460,5,280,1,"aero: aero"
aero.rotorcraft,0,0.0129,2,0,0,2,0,0,1,"aero.rotorcraft: aero.rotor,craft|ae,ro.rotor,craft"
aero.dgca,0,0.0136,2,0,0,2,0,0,1,"aero.dgca: aero.dgca|ae,ro.dgca"
aero.championship,0,0.0136,2,0,0,2,0,0,1,"aero.championship: aero.championship|ae,ro.championship"
aero.workinggroup,0,0.0126,2,0,0,2,0,0,1,"aero.workinggroup: aero.working,group|ae,ro.working,group"
aero.cargo,0,0.0136,2,0,0,2,0,0,1,"aero.cargo: aero.cargo|ae,ro.cargo"
aero.press,0,0.0129,2,0,0,2,0,0,1,"aero.press: aero.press|ae,ro.press"
aero.recreation,0,0.0129,2,0,0,2,0,0,1,"aero.recreation: aero.recreation|ae,ro.recreation"
aero.airport,0,0.0213,2,0,0,2,0,0,1,"aero.airport: aero.airport|ae,ro.airport"
aero.journalist,0,0.0133,2,0,0,2,0,0,1,"aero.journalist: aero.journalist|ae,ro.journalist"
aero.flight,0,0.0135,2,0,0,2,0,0,1,"aero.flight: aero.flight|ae,ro.flight"
aero.conference,0,0.0136,2,0,0,2,0,0,1,"aero.conference: aero.conference|ae,ro.conference"
aero.entertainment,0,0.0135,2,0,0,2,0,0,1,"aero.entertainment: aero.entertainment|ae,ro.entertainment"
aero.air-traffic-control,0,0.0138,2,0,0,2,0,0,1,"aero.air-traffic-control: aero.air,-,traffic,-,control|ae,ro.air,-,traffic,-,control"
aero.association,0,0.0137,2,0,0,2,0,0,1,"aero.association: aero.association|ae,ro.association"
aero.journal,0,0.0133,2,0,0,2,0,0,1,"aero.journal: aero.journal|ae,ro.journal"
aero.federation,0,0.0135,2,0,0,2,0,0,1,"aero.federation: aero.federation|ae,ro.federation"
aero.consulting,0,0.0136,2,0,0,2,0,0,1,"aero.consulting: aero.consulting|ae,ro.consulting"
aero.aerobatic,0,0.0138,2,0,0,2,0,0,1,"aero.aerobatic: aero.aerobatic|ae,ro.aerobatic"
aero.parachuting,0,0.0129,2,0,0,2,0,0,1,"aero.parachuting: aero.parachuting|ae,ro.parachuting"
aero.services,0,0.017,2,0,0,2,0,0,1,"aero.services: aero.services|ae,ro.services"
aero.union,0,0.014,2,0,0,2,0,0,1,"aero.union: aero.union|ae,ro.union"
aero.broker,0,0.0137,2,0,0,2,0,0,1,"aero.broker: aero.broker|ae,ro.broker"
aero.aeroclub,0,0.0138,2,0,0,2,0,0,1,"aero.aeroclub: aero.aeroc,lub|ae,ro.aeroc,lub"
aero.consultant,0,0.0155,2,0,0,2,0,0,1,"aero.consultant: aero.consultant|ae,ro.consultant"
aero.insurance,0,0.0133,2,0,0,2,0,0,1,"aero.insurance: aero.insurance|ae,ro.insurance"
aero.repbody,0,0.0129,2,0,0,2,0,0,1,"aero.repbody: aero.rep,body|ae,ro.rep,body"
aero.emergency,0,0.0135,2,0,0,2,0,0,1,"aero.emergency: aero.emergency|ae,ro.emergency"
aero.express,0,0.0135,2,0,0,2,0,0,1,"aero.express: aero.express|ae,ro.express"
aero.research,0,0.0129,2,0,0,2,0,0,1,"aero.research: aero.research|ae,ro.research"
aero.homebuilt,0,0.0134,2,0,0,2,0,0,1,"aero.homebuilt: aero.home,built|ae,ro.home,built"
aero.club,0,0.0149,2,0,0,2,0,0,1,"aero.club: aero.club|ae,ro.club"
aero.accident-investigation,0,0.0138,2,0,0,2,0,0,1,"aero.accident-investigation: aero.accident,-,investigation|ae,ro.accident,-,investigation"
aero.res,0,0.0152,2,0,0,2,0,0,1,"aero.res: aero.res|ae,ro.res"
aero.modelling,0,0.0131,2,0,0,2,0,0,1,"aero.modelling: aero.modelling|ae,ro.modelling"
aero.ballooning,0,0.0137,2,0,0,2,0,0,1,"aero.ballooning: aero.ballooning|ae,ro.ballooning"
aero.exchange,0,0.0135,2,0,0,2,0,0,1,"aero.exchange: aero.exchange|ae,ro.exchange"
aero.production,0,0.0129,2,0,0,2,0,0,1,"aero.production: aero.production|ae,ro.production"
aero.scientist,0,0.0129,2,0,0,2,0,0,1,"aero.scientist: aero.scientist|ae,ro.scientist"
aero.show,0,0.0128,2,0,0,2,0,0,1,"aero.show: aero.show|ae,ro.show"
aero.hanggliding,0,0.0134,2,0,0,2,0,0,1,"aero.hanggliding: aero.hang,gliding|ae,ro.hang,gliding"
aero.paragliding,0,0.0129,2,0,0,2,0,0,1,"aero.paragliding: aero.paragliding|ae,ro.paragliding"
aero.engine,0,0.0135,2,0,0,2,0,0,1,"aero.engine: aero.engine|ae,ro.engine"
aero.trainer,0,0,2,0,0,1,0,0,1,"aero.trainer: aero.trainer|ae,ro.trainer"
aero.airline,0,0.0206,2,0,0,2,0,0,1,"aero.airline: aero.airline|ae,ro.airline"
aero.pilot,0,0.0129,2,0,0,2,0,0,1,"aero.pilot: aero.pilot|ae,ro.pilot"
aero.groundhandling,0,0.0134,2,0,0,2,0,0,1,"aero.groundhandling: aero.ground,handling|ae,ro.ground,handling"
aero.passenger-association,0,0.0129,2,0,0,2,0,0,1,"aero.passenger-association: aero.passenger,-,association|ae,ro.passenger,-,association"
aero.engineer,0,0.0135,2,0,0,2,0,0,1,"aero.engineer: aero.engineer|ae,ro.engineer"
aero.catering,0,0.0136,2,0,0,2,0,0,1,"aero.catering: aero.catering|ae,ro.catering"
aero.magazine,0,0.0132,2,0,0,2,0,0,1,"aero.magazine: aero.magazine|ae,ro.magazine"
aero.software,0,0.0128,2,0,0,2,0,0,1,"aero.software: aero.software|ae,ro.software"
aero.charter,0,0.0136,2,0,0,2,0,0,1,"aero.charter: aero.charter|ae,ro.charter"
aero.navigation,0,0.0153,2,0,0,2,0,0,1,"aero.navigation: aero.navigation|ae,ro.navigation"
aero.safety,0,0.0129,2,0,0,2,0,0,1,"aero.safety: aero.safety|ae,ro.safety"
aero.ambulance,0,0.0138,2,0,0,2,0,0,1,"aero.ambulance: aero.ambulance|ae,ro.ambulance"
aero.certification,0,0.0136,2,0,0,2,0,0,1,"aero.certification: aero.certification|ae,ro.certification"
aero.trading,0,0.0127,2,0,0,2,0,0,1,"aero.trading: aero.trading|ae,ro.trading"
aero.skydiving,0,0.0128,2,0,0,2,0,0,1,"aero.skydiving: aero.skydiving|ae,ro.skydiving"
aero.works,0,0.0126,2,0,0,2,0,0,1,"aero.works: aero.works|ae,ro.works"
aero.freight,0,0.0148,2,0,0,2,0,0,1,"aero.freight: aero.freight|ae,ro.freight"
aero.accident-prevention,0,0.0138,2,0,0,2,0,0,1,"aero.accident-prevention: aero.accident,-,prevention|ae,ro.accident,-,prevention"
aero.educator,0,0.0135,2,0,0,2,0,0,1,"aero.educator: aero.educator|ae,ro.educator"
aero.crew,0,0.0136,2,0,0,2,0,0,1,"aero.crew: aero.crew|ae,ro.crew"
aero.aerodrome,0,0.0138,2,0,0,2,0,0,1,"aero.aerodrome: aero.aerodrome|ae,ro.aerodrome"
aero.government,0,0.0134,2,0,0,2,0,0,1,"aero.government: aero.government|ae,ro.government"
aero.air-surveillance,0,0.0138,2,0,0,2,0,0,1,"aero.air-surveillance: aero.air,-,surveillance|ae,ro.air,-,surveillance"
aero.agents,0,0.0138,2,0,0,2,0,0,1,"aero.agents: aero.agents|ae,ro.agents"
aero.fuel,0,0.0135,2,0,0,2,0,0,1,"aero.fuel: aero.fuel|ae,ro.fuel"
aero.civilaviation,0,0.0136,2,0,0,2,0,0,1,"aero.civilaviation: aero.civil,aviation|ae,ro.civil,aviation"
aero.leasing,0,0.0132,2,0,0,2,0,0,1,"aero.leasing: aero.leasing|ae,ro.leasing"
aero.group,0,0.0134,2,0,0,2,0,0,1,"aero.group: aero.group|ae,ro.group"
aero.author,0,0.0137,2,0,0,2,0,0,1,"aero.author: aero.author|ae,ro.author"
aero.equipment,0,0.0135,2,0,0,2,0,0,1,"aero.equipment: aero.equipment|ae,ro.equipment"
aero.microlight,0,0.0131,2,0,0,2,0,0,1,"aero.microlight: aero.microlight|ae,ro.microlight"
aero.council,0,0.0136,2,0,0,2,0,0,1,"aero.council: aero.council|ae,ro.council"
aero.amusement,0,0.0138,2,0,0,2,0,0,1,"aero.amusement: aero.amusement|ae,ro.amusement"
aero.gliding,0,0.0135,2,0,0,2,0,0,1,"aero.gliding: aero.gliding|ae,ro.gliding"
aero.caa,0,0.0137,2,0,0,2,0,0,1,"aero.caa: aero.caa|ae,ro.caa"
aero.student,0,0.0128,2,0,0,2,0,0,1,"aero.student: aero.student|ae,ro.student"
aero.logistics,0,0.0132,2,0,0,2,0,0,1,"aero.logistics: aero.logistics|ae,ro.logistics"
aero.media,0,0.0131,2,0,0,2,0,0,1,"aero.media: aero.media|ae,ro.media"
aero.design,0,0.0136,2,0,0,2,0,0,1,"aero.design: aero.design|ae,ro.design"
aero.aircraft,0,0.0138,2,0,0,2,0,0,1,"aero.aircraft: aero.aircraft|ae,ro.aircraft"
aero.trader,0,0.0127,2,0,0,2,0,0,1,"aero.trader: aero.trader|ae,ro.trader"
aero.control,0,0.0136,2,0,0,2,0,0,1,"aero.control: aero.control|ae,ro.control"
aero.maintenance,0,0.0132,2,0,0,2,0,0,1,"aero.maintenance: aero.maintenance|ae,ro.maintenance"
aero.airtraffic,0,0.0156,2,0,0,2,0,0,1,"aero.airtraffic: aero.airt,raff,ic|ae,ro.airt,raff,ic"
dabur,0,0.0179,1,0,0,2,0,0,1,"dabur: dab,ur"
xn--80aswg,-1,0.0366,1,8,8,10,0,8,1,"сайт: сайт #IDN"
top,0.506,6.2846,1,8016,11144,15122,11382,3735,1,"top: top"
top.hotblog,0.984,0.0076,2,42,49,127,126,1,0,"top.hotblog: top.hotb,log|t,op.hotb,log"
top.coolmine,0.6,0.0011,2,2,2,5,4,1,0,"top.coolmine: top.cool,mine|t,op.cool,mine"
top.ntdll,1,0.017,2,9,9,19,17,0,1,"top.ntdll: top.ntd,ll|t,op.ntd,ll"
top.erolove,0.98,0.0077,2,35,40,102,101,1,0,"top.erolove: top.erol,ove|t,op.erol,ove"
top.tfmsoft,0.714,0.0011,2,2,2,7,6,1,0,"top.tfmsoft: top.tfm,soft|t,op.tfm,soft"
top.now-dns,0,0,2,0,0,1,0,0,1,"top.now-dns: top.now,-,dns|t,op.now,-,dns"
top.52miaozan,0.999,0.0021,2,268,915,1904,1903,1,0,"top.52miaozan: top.52,miaoz,an|t,op.52,miaoz,an"
lancia,0,0.0154,1,0,0,2,0,0,1,"lancia: lancia"
tiaa,0,0.0167,1,0,0,2,0,0,1,"tiaa: tiaa"
walter,0,0.0164,1,0,0,2,0,0,1,"walter: walter"
haus,-1,0.0417,1,8,8,11,0,9,1,"haus: haus"
barclaycard,-1,0.0335,1,4,4,7,0,5,1,"barclaycard: barclay,card"
cheap,-0.538,0.0381,1,11,11,15,3,10,1,"cheap: cheap"
xn--czrs0t,0,0.0164,1,0,0,2,0,0,1,"商店: 商店 #IDN"
phd,0,0.0162,1,0,0,2,0,0,1,"phd: phd"
kaufen,-1,0.0261,1,2,2,4,0,2,1,"kaufen: kauf,en"
industries,-1,0.0311,1,3,3,5,0,3,1,"industries: industries"
xxx,-0.965,1.2643,1,432,432,459,8,449,1,"xxx: xxx"
dunlop,0,0.0155,1,0,0,2,0,0,1,"dunlop: dun,lop"
com,-0.221,1978.8715,1,890407,1222707,1583854,616517,966602,1,"com: com"
com.4u,0,0.0169,2,0,0,2,0,0,1,"com.4u: com.4,u|c,om.4,u"
com.ar,-1,0.0308,2,1,1,4,0,2,1,"com.ar: com.ar|c,om.ar"
com.br,-0.818,0.0567,2,10,10,13,1,10,1,"com.br: com.br|c,om.br"
com.cn,0.938,0.0375,2,41,42,66,62,2,1,"com.cn: com.cn|c,om.cn"
com.co,0.409,0.0728,2,33,36,46,31,13,1,"com.co: com.co|c,om.co"
com.de,0,0.0903,2,12,12,18,8,8,1,"com.de: com.de|c,om.de"
com.eu,-0.65,0.1349,2,36,36,42,7,33,1,"com.eu: com.eu|c,om.eu"
com.gb,-1,0.0295,2,0,0,3,0,1,1,"com.gb: com.gb|c,om.gb"
com.go,-1,0.3047,2,17,17,20,0,20,0,"com.go: com.go|c,om.go"
com.gr,-1,0.0264,2,0,0,3,0,1,1,"com.gr: com.gr|c,om.gr"
com.hk,-1,0.0286,2,1,1,4,0,2,1,"com.hk: com.hk|c,om.hk"
com.hu,-1,0.0215,2,0,0,3,0,1,1,"com.hu: com.hu|c,om.hu"
com.kr,0,0.0199,2,1,1,4,1,1,1,"com.kr: com.kr|c,om.kr"
com.no,-1,0.0308,2,0,0,3,0,1,1,"com.no: com.no|c,om.no"
com.qc,-1,0.0284,2,1,1,4,0,2,1,"com.qc: com.qc|c,om.qc"
com.qq,-1,0.955,2,16,17,21,0,21,0,"com.qq: com.qq|c,om.qq"
com.qq.weixin,-1,0.0919,3,2,2,2,0,2,0,"com.qq.weixin: com.qq.weixin|c,om.qq.weixin"
com.ru,-0.095,0.0948,2,30,31,44,19,23,1,"com.ru: com.ru|c,om.ru"
com.sa,-0.75,0.0461,2,7,7,10,1,7,1,"com.sa: com.sa|c,om.sa"
com.uk,-0.754,0.2553,2,108,108,116,14,100,1,"com.uk: com.uk|c,om.uk"
com.us,0.617,0.3437,2,207,258,357,287,68,1,"com.us: com.us|c,om.us"
com.us.vir,0.939,0.0018,3,12,12,33,32,1,0,"com.us.vir: com.us.vir|c,om.us.vir"
com.us.nbajerseysstore,-1,0.0104,3,2,2,2,0,2,0,"com.us.nbajerseysstore: com.us.nba,jerseys,store|c,om.us.nba,jerseys,store"
com.uy,0,0.0179,2,0,0,2,0,0,1,"com.uy: com.uy|c,om.uy"
com.vk,-1,0.3789,2,2,2,4,0,4,0,"com.vk: com.vk|c,om.vk"
com.wp,-1,0.4248,2,4,4,6,0,6,0,"com.wp: com.wp|c,om.wp"
com.za,-0.556,0.0445,2,8,8,11,2,7,1,"com.za: com.za|c,om.za"
com.wetrasnfer,0.75,0.0013,2,3,3,8,7,1,0,"com.wetrasnfer: com.wet,ras,nfer|c,om.wet,ras,nfer"
com.secured-igaming-services,0.949,0.002,2,17,17,39,38,1,0,"com.secured-igaming-services: com.secured,-,igami,ng,-,services|c,om.secured,-,igami,ng,-,services"
com.lightake,0.826,0.0048,2,10,10,23,21,2,0,"com.lightake: com.lightake|c,om.lightake"
com.whitesmoke,0.953,0.0059,2,18,18,86,84,2,0,"com.whitesmoke: com.whites,moke|c,om.whites,moke"
com.workisboring,-1,0.0227,2,3,3,5,0,3,1,"com.workisboring: com.workis,boring|c,om.workis,boring"
com.massagetherapy,-1,0.0122,2,5,5,6,0,6,0,"com.massagetherapy: com.massage,therapy|c,om.massage,therapy"
com.righto,0.6,0.0086,2,2,2,10,8,2,0,"com.righto: com.righto|c,om.righto"
com.rwebhinda,0.333,0.002,2,2,2,3,2,1,0,"com.rwebhinda: com.rwe,bhin,da|c,om.rwe,bhin,da"
com.foretuned,0.92,0.0018,2,3,3,25,24,1,0,"com.foretuned: com.fore,tuned|c,om.fore,tuned"
com.ablwang,0.895,0.0028,2,5,7,19,18,1,0,"com.ablwang: com.abl,wang|c,om.abl,wang"
com.is-a-painter,1,0,2,1,1,2,1,0,1,"com.is-a-painter: com.is,-,a,-,painter|c,om.is,-,a,-,painter"
com.wpdevcloud,-1,0.0247,2,1,1,4,0,2,1,"com.wpdevcloud: com.wpdev,cloud|c,om.wpdev,cloud"
com.blogfa,-0.844,1.2859,2,972,972,999,78,921,0,"com.blogfa: com.blog,fa|c,om.blog,fa"
com.blogcu,-0.739,0.0422,2,21,21,23,3,20,0,"com.blogcu: com.blog,cu|c,om.blog,cu"
com.firstcomdemolinks,1,0.0023,2,1254,5003,11149,11148,1,0,"com.firstcomdemolinks: com.first,comd,emol,inks|c,om.first,comd,emol,inks"
com.uptodown,0.966,0.0644,2,1,2,118,116,2,0,"com.uptodown: com.upto,down|c,om.upto,down"
com.ddnsking,0.995,0.028,2,198,237,414,411,1,1,"com.ddnsking: com.ddns,king|c,om.ddns,king"
com.dreamhosters,-0.467,0.0735,2,14,14,17,4,11,1,"com.dreamhosters: com.dream,host,ers|c,om.dream,host,ers"
com.registrywinner,0.8,0.0013,2,7,7,10,9,1,0,"com.registrywinner: com.registry,winner|c,om.registry,winner"
com.porno-apk,0.875,0.0035,2,3,3,16,15,1,0,"com.porno-apk: com.porno,-,apk|c,om.porno,-,apk"
com.is-a-nascarfan,0,0.0133,2,0,0,2,0,0,1,"com.is-a-nascarfan: com.is,-,a,-,nascar,fan|c,om.is,-,a,-,nascar,fan"
com.thebactefort,0.975,0.0035,2,40,40,163,161,2,0,"com.thebactefort: com.theba,cte,fort|c,om.theba,cte,fort"
com.iziyo,0.998,0.0029,2,1,350,863,862,1,0,"com.iziyo: com.iziyo|c,om.iziyo"
com.163,-1,0.5275,2,19,80,83,0,83,0,"com.163: com.163|c,om.163"
com.163.blog,-1,0.1732,3,62,62,63,0,63,0,"com.163.blog: com.163.blog|c,om.163.blog"
com.52z,0,0.0153,2,2,2,4,2,2,0,"com.52z: com.52,z|c,om.52,z"
com.atwaar,0.875,0.0023,2,6,6,16,15,1,0,"com.atwaar: com.atw,aar|c,om.atw,aar"
com.quipelements,0,0.0238,2,1,2,2,0,0,1,"com.quipelements: com.quip,elements|c,om.quip,elements"
com.quipelements.*,0,0,3,0,0,1,0,0,1,"com.quipelements.*: com.quip,elements.*|c,om.qu,ipel,ements.*"
com.idknet,0.987,0.0057,2,67,250,310,308,2,0,"com.idknet: com.idknet|c,om.idknet"
com.bplaced,-1,0.0233,2,1,1,4,0,2,1,"com.bplaced: com.bpl,aced|c,om.bpl,aced"
com.servecounterstrike,0.985,0.025,2,152,152,261,257,2,1,"com.servecounterstrike: com.serve,counters,trike|c,om.serve,counters,trike"
com.ddnslive,-1,0.0214,2,1,1,3,0,1,1,"com.ddnslive: com.ddns,live|c,om.ddns,live"
com.eabolivia,0.75,0.0029,2,6,6,16,14,2,0,"com.eabolivia: com.eab,olivia|c,om.eab,olivia"
com.webcindario,0.886,0.0232,2,25,25,35,33,2,0,"com.webcindario: com.webc,inda,rio|c,om.webc,inda,rio"
com.dyndns-mail,1,0.0209,2,4,4,9,7,0,1,"com.dyndns-mail: com.dyndns,-,mail|c,om.dyndns,-,mail"
com.nfshost,-1,0.0387,2,0,0,3,0,1,1,"com.nfshost: com.nfshost|c,om.nfshost"
com.besttourinmorocco,0.846,0.0042,2,5,5,13,12,1,0,"com.besttourinmorocco: com.bestt,ourin,morocco|c,om.bestt,ourin,morocco"
com.pusku,0.983,0.0082,2,108,108,118,117,1,0,"com.pusku: com.pusku|c,om.pusku"
com.createbb,0.846,0.0077,2,5,5,13,12,1,0,"com.createbb: com.create,bb|c,om.create,bb"
com.securitystronghold,0.789,0.0058,2,3,3,19,17,2,0,"com.securitystronghold: com.security,stronghold|c,om.security,stronghold"
com.no-ip,-0.2,0.0183,2,3,3,5,2,3,0,"com.no-ip: com.no,-,ip|c,om.no,-,ip"
com.livejournal,-0.985,2.2291,2,1299,1299,1309,10,1299,0,"com.livejournal: com.live,journal|c,om.live,journal"
com.twitter,-1,0.8976,2,3,3,5,0,5,0,"com.twitter: com.twitter|c,om.twitter"
com.ditchyourip,0,0.0164,2,0,0,2,0,0,1,"com.ditchyourip: com.ditch,youri,p|c,om.ditch,youri,p"
com.500px,-1,0.0704,2,6,6,8,0,8,0,"com.500px: com.500,px|c,om.500,px"
com.facebbok,0.818,0.0039,2,7,7,22,20,2,0,"com.facebbok: com.facebbok|c,om.facebbok"
com.lookseekpages,0.979,0.0016,2,60,60,94,93,1,0,"com.lookseekpages: com.looks,eek,pages|c,om.looks,eek,pages"
com.280group,0.667,0.0026,2,2,2,12,10,2,0,"com.280group: com.280,group|c,om.280,group"
